run_id,timestep,mean_reward
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,15000,303.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,30000,282.6
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,45000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,60000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,75000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,90000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,105000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,120000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,135000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,150000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,15000,428.6
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,30000,180.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,45000,252.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,60000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,75000,476.8
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,90000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,150000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,15000,468.8
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,30000,263.8
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,45000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,60000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,75000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,90000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,105000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,120000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,135000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,150000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,15000,304.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,30000,473.2
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,45000,463.6
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,60000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,75000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,90000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,105000,439.8
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,120000,313.2
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,135000,468.8
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,150000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,15000,477.8
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,30000,476.4
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,45000,276.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,60000,360.8
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,75000,464.6
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,90000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,120000,500.0
