run_id,env,algo,seed,learning_rate,n_steps,gamma,exploration_fraction,mean_reward,std_reward,timesteps,duration_s,status,error,timestamp
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,CartPole-v1,PPO,0,0.0001,512,0.999,,500.0,0.0,150000,951.7,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,CartPole-v1,PPO,0,0.0001,512,0.99,,500.0,0.0,150000,952.7,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,CartPole-v1,PPO,0,0.0003,512,0.999,,500.0,0.0,150000,961.2,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,CartPole-v1,PPO,1,0.0001,2048,0.999,,500.0,0.0,150000,961.7,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,CartPole-v1,PPO,0,0.0001,2048,0.99,,500.0,0.0,150000,964.0,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s1,CartPole-v1,PPO,1,0.0001,512,0.99,,500.0,0.0,150000,966.1,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,CartPole-v1,PPO,1,0.0001,512,0.999,,493.1,28.5112,150000,967.2,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,CartPole-v1,PPO,0,0.0003,512,0.99,,500.0,0.0,150000,968.2,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,CartPole-v1,PPO,0,0.0001,2048,0.999,,500.0,0.0,150000,975.0,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,CartPole-v1,PPO,1,0.0003,512,0.99,,500.0,0.0,150000,975.2,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,CartPole-v1,PPO,1,0.0001,2048,0.99,,500.0,0.0,150000,981.5,success,,2026-04-19T09:32:31
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,CartPole-v1,PPO,0,0.0003,2048,0.99,,500.0,0.0,150000,954.2,success,,2026-04-19T09:48:24
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,CartPole-v1,PPO,0,0.0003,2048,0.999,,500.0,0.0,150000,947.8,success,,2026-04-19T09:48:33
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,CartPole-v1,PPO,1,0.0003,2048,0.99,,500.0,0.0,150000,958.9,success,,2026-04-19T09:48:33
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,CartPole-v1,PPO,0,0.001,512,0.99,,500.0,0.0,150000,959.0,success,,2026-04-19T09:48:37
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s1,CartPole-v1,PPO,1,0.0003,512,0.999,,500.0,0.0,150000,973.9,success,,2026-04-19T09:48:23
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s1,CartPole-v1,PPO,1,0.001,512,0.99,,500.0,0.0,150000,963.5,success,,2026-04-19T09:48:39
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s0,CartPole-v1,PPO,0,0.001,512,0.999,,500.0,0.0,150000,963.5,success,,2026-04-19T09:48:40
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s1,CartPole-v1,PPO,1,0.0003,2048,0.999,,500.0,0.0,150000,972.7,success,,2026-04-19T09:48:35
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,CartPole-v1,PPO,0,0.001,2048,0.99,,500.0,0.0,150000,965.9,success,,2026-04-19T09:48:47
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,CartPole-v1,PPO,1,0.001,2048,0.99,,500.0,0.0,150000,959.9,success,,2026-04-19T09:48:53
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,CartPole-v1,PPO,1,0.001,512,0.999,,500.0,0.0,150000,968.1,success,,2026-04-19T09:48:46
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,CartPole-v1,DQN,0,0.0001,,0.99,0.1,174.95,11.3731,150000,668.2,success,,2026-04-19T10:04:32
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,CartPole-v1,DQN,1,0.0001,,0.99,0.1,146.4,13.1011,150000,664.8,success,,2026-04-19T10:04:37
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,CartPole-v1,DQN,0,0.0001,,0.999,0.1,238.6,36.8285,150000,666.7,success,,2026-04-19T10:04:37
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,CartPole-v1,DQN,0,0.0001,,0.99,0.2,176.6,18.04,150000,660.7,success,,2026-04-19T10:04:43
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,CartPole-v1,DQN,1,0.0001,,0.999,0.1,160.0,14.2759,150000,663.8,success,,2026-04-19T10:04:42
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,CartPole-v1,DQN,1,0.0001,,0.99,0.2,184.0,37.9078,150000,661.3,success,,2026-04-19T10:04:48
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0001__s1,CartPole-v1,DQN,1,0.0001,,0.999,0.2,185.3,37.0595,150000,656.6,success,,2026-04-19T10:04:53
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0001__s0,CartPole-v1,DQN,0,0.0001,,0.999,0.2,162.65,13.5583,150000,657.5,success,,2026-04-19T10:04:53
